MSA,YEAR,MONTH,TOTAL_PASSENGERS
Miami,2022,7,3652445
Miami,2022,8,3456464
Miami,2022,9,2975239
Miami,2022,10,3301358
Miami,2022,11,3517443
Miami,2022,12,3854402
Miami,2023,1,3980941
Miami,2023,2,3651030
Miami,2023,3,4314893
Miami,2023,4,3929705
Miami,2023,5,3838193
Miami,2023,6,3682447
Miami,2023,7,3856549
Miami,2023,8,3667961
Miami,2023,9,3145934
Miami,2023,10,3474535
Miami,2023,11,3846345
Miami,2023,12,4274385
Miami,2024,1,4329988
Miami,2024,2,4087258
Miami,2024,3,4729320
Miami,2024,4,4217259
Miami,2024,5,4166240
Miami,2024,6,3858631
Miami,2024,7,4034085
Miami,2024,8,3729205
Miami,2024,9,3107898
Miami,2024,10,3381186
Miami,2024,11,3781671
Miami,2024,12,4373165
Miami,2025,1,4264884
Miami,2025,2,3828096
Miami,2025,3,4557259
Miami,2025,4,4045159
Miami,2025,5,3799296
Miami,2025,6,3743645
Miami,2025,7,3854382
Miami,2025,8,3658765
Miami,2025,9,2927088
Miami,2025,10,3363635
Miami,2025,11,3770096
Miami,2025,12,4347988
New York,2019,1,4988347
New York,2019,2,4628821
New York,2019,3,5752082
New York,2019,4,5867957
New York,2019,5,6224954
New York,2019,6,6390311
New York,2019,7,6600575
New York,2019,8,6545992
New York,2019,9,5617269
New York,2019,10,5900559
New York,2019,11,5439908
New York,2019,12,6121369
New York,2020,1,5184803
New York,2020,2,4811827
New York,2020,3,2520689
New York,2020,4,105932
New York,2020,5,209831
New York,2020,6,516237
New York,2020,7,885297
New York,2020,8,1068118
New York,2020,9,1000976
New York,2020,10,1276025
New York,2020,11,1302467
New York,2020,12,1600911
New York,2021,1,1304718
New York,2021,2,1229134
New York,2021,3,1927742
New York,2021,4,2183411
New York,2021,5,2839505
New York,2021,6,3461733
New York,2021,7,4136690
New York,2021,8,4030382
New York,2021,9,3339873
New York,2021,10,3891780
New York,2021,11,4502951
New York,2021,12,4892324
New York,2022,1,3315425
New York,2022,2,3673972
New York,2022,3,4897710
New York,2022,4,5357488
New York,2022,5,5750436
New York,2022,6,5863858
New York,2022,7,6139077
New York,2022,8,5909995
New York,2022,9,5378151
New York,2022,10,5770172
New York,2022,11,5524841
New York,2022,12,5791217
New York,2023,1,5052436
New York,2023,2,4780115
New York,2023,3,5966454
New York,2023,4,5991577
New York,2023,5,6417859
New York,2023,6,6346018
New York,2023,7,6531551
New York,2023,8,6645278
New York,2023,9,5751136
New York,2023,10,6130834
New York,2023,11,5822141
New York,2023,12,6089559
New York,2024,1,5087127
New York,2024,2,5004274
New York,2024,3,5985604
New York,2024,4,5956537
New York,2024,5,6464763
New York,2024,6,6578975
New York,2024,7,6907965
New York,2024,8,6625574
New York,2024,9,5854439
New York,2024,10,6234638
New York,2024,11,5763130
New York,2024,12,6424397
New York,2025,1,5268671
New York,2025,2,4802894
New York,2025,3,5695832
New York,2025,4,5869213
New York,2025,5,5988919
New York,2025,6,6242509
New York,2025,7,6686830
New York,2025,8,6737426
New York,2025,9,5714567
New York,2025,10,6093550
New York,2025,11,5631585
New York,2025,12,6202677
Philadelphia,2019,1,1094439
Philadelphia,2019,2,1043463
Philadelphia,2019,3,1339209
Philadelphia,2019,4,1369083
Philadelphia,2019,5,1513732
Philadelphia,2019,6,1549081
Philadelphia,2019,7,1575100
Philadelphia,2019,8,1581447
Philadelphia,2019,9,1328640
Philadelphia,2019,10,1435555
Philadelphia,2019,11,1298862
Philadelphia,2019,12,1365157
Philadelphia,2020,1,1135174
Philadelphia,2020,2,1098693
Philadelphia,2020,3,586819
Philadelphia,2020,4,51693
Philadelphia,2020,5,150416
Philadelphia,2020,6,254908
Philadelphia,2020,7,421244
Philadelphia,2020,8,543049
Philadelphia,2020,9,398324
Philadelphia,2020,10,467604
Philadelphia,2020,11,436008
Philadelphia,2020,12,434315
Philadelphia,2021,1,373640
Philadelphia,2021,2,372894
Philadelphia,2021,3,602072
Philadelphia,2021,4,690603
Philadelphia,2021,5,832432
Philadelphia,2021,6,1057667
Philadelphia,2021,7,1166329
Philadelphia,2021,8,1089999
Philadelphia,2021,9,909080
Philadelphia,2021,10,1029834
Philadelphia,2021,11,954093
Philadelphia,2021,12,971472
Philadelphia,2022,1,685653
Philadelphia,2022,2,785707
Philadelphia,2022,3,1028986
Philadelphia,2022,4,1116339
Philadelphia,2022,5,1163044
Philadelphia,2022,6,1222163
Philadelphia,2022,7,1251332
Philadelphia,2022,8,1189980
Philadelphia,2022,9,1061472
Philadelphia,2022,10,1184664
Philadelphia,2022,11,1034134
Philadelphia,2022,12,1033858
Philadelphia,2023,1,928156
Philadelphia,2023,2,888043
Philadelphia,2023,3,1128868
Philadelphia,2023,4,1144599
Philadelphia,2023,5,1178455
Philadelphia,2023,6,1306046
Philadelphia,2023,7,1345903
Philadelphia,2023,8,1336339
Philadelphia,2023,9,1178162
Philadelphia,2023,10,1276966
Philadelphia,2023,11,1162468
Philadelphia,2023,12,1109331
Philadelphia,2024,1,956769
Philadelphia,2024,2,972277
Philadelphia,2024,3,1209214
Philadelphia,2024,4,1231378
Philadelphia,2024,5,1385154
Philadelphia,2024,6,1487918
Philadelphia,2024,7,1540073
Philadelphia,2024,8,1526142
Philadelphia,2024,9,1282235
Philadelphia,2024,10,1361548
Philadelphia,2024,11,1169406
Philadelphia,2024,12,1238325
Philadelphia,2025,1,962524
Philadelphia,2025,2,929465
Philadelphia,2025,3,1155205
Philadelphia,2025,4,1306803
Philadelphia,2025,5,1360996
Philadelphia,2025,6,1422191
Philadelphia,2025,7,1476206
Philadelphia,2025,8,1487705
Philadelphia,2025,9,1244520
Philadelphia,2025,10,1353072
Philadelphia,2025,11,1085166
Philadelphia,2025,12,1163211
Phoenix,2019,1,1841863
Phoenix,2019,2,1809072
Phoenix,2019,3,2317887
Phoenix,2019,4,2081912
Phoenix,2019,5,2044588
Phoenix,2019,6,1966473
Phoenix,2019,7,1923112
Phoenix,2019,8,1834092
Phoenix,2019,9,1716959
Phoenix,2019,10,1946304
Phoenix,2019,11,1875194
Phoenix,2019,12,2128271
Phoenix,2020,1,1914445
Phoenix,2020,2,1921599
Phoenix,2020,3,1247745
Phoenix,2020,4,132680
Phoenix,2020,5,421435
Phoenix,2020,6,592273
Phoenix,2020,7,704316
Phoenix,2020,8,707205
Phoenix,2020,9,792559
Phoenix,2020,10,957567
Phoenix,2020,11,924822
Phoenix,2020,12,955151
Phoenix,2021,1,858028
Phoenix,2021,2,900108
Phoenix,2021,3,1522159
Phoenix,2021,4,1648857
Phoenix,2021,5,1833974
Phoenix,2021,6,1901206
Phoenix,2021,7,1953883
Phoenix,2021,8,1718806
Phoenix,2021,9,1664568
Phoenix,2021,10,1918952
Phoenix,2021,11,1972832
Phoenix,2021,12,1969238
Phoenix,2022,1,1537607
Phoenix,2022,2,1706496
Phoenix,2022,3,2219522
Phoenix,2022,4,2070995
Phoenix,2022,5,2014490
Phoenix,2022,6,1894498
Phoenix,2022,7,1863996
Phoenix,2022,8,1767255
Phoenix,2022,9,1802008
Phoenix,2022,10,2035194
Phoenix,2022,11,2007482
Phoenix,2022,12,2010523
Phoenix,2023,1,1970042
Phoenix,2023,2,1948531
Phoenix,2023,3,2380958
Phoenix,2023,4,2239565
Phoenix,2023,5,2194812
Phoenix,2023,6,1990915
Phoenix,2023,7,1943320
Phoenix,2023,8,1821270
Phoenix,2023,9,1886244
Phoenix,2023,10,2194574
Phoenix,2023,11,2199660
Phoenix,2023,12,2196157
Phoenix,2024,1,2016134
Phoenix,2024,2,2102530
Phoenix,2024,3,2574459
Phoenix,2024,4,2436085
Phoenix,2024,5,2427679
Phoenix,2024,6,2192198
Phoenix,2024,7,2117528
Phoenix,2024,8,1964577
Phoenix,2024,9,1933769
Phoenix,2024,10,2274179
Phoenix,2024,11,2240339
Phoenix,2024,12,2379448
Phoenix,2025,1,2017829
Phoenix,2025,2,2004450
Phoenix,2025,3,2608577
Phoenix,2025,4,2369928
Phoenix,2025,5,2366095
Phoenix,2025,6,2156650
Phoenix,2025,7,2078035
Phoenix,2025,8,1899019
Phoenix,2025,9,1853516
Phoenix,2025,10,2281087
Phoenix,2025,11,2171472
Phoenix,2025,12,2373054
Washington DC,2019,1,2449943
Washington DC,2019,2,2320614
Washington DC,2019,3,3045210
Washington DC,2019,4,3134583
Washington DC,2019,5,3358653
Washington DC,2019,6,3452115
Washington DC,2019,7,3465675
Washington DC,2019,8,3385351
Washington DC,2019,9,2927753
Washington DC,2019,10,3255061
Washington DC,2019,11,3020282
Washington DC,2019,12,3214562
Washington DC,2020,1,2600588
Washington DC,2020,2,2476598
Washington DC,2020,3,1352064
Washington DC,2020,4,102273
Washington DC,2020,5,403495
Washington DC,2020,6,665401
Washington DC,2020,7,864037
Washington DC,2020,8,926200
Washington DC,2020,9,859014
Washington DC,2020,10,1008818
Washington DC,2020,11,907881
Washington DC,2020,12,1004258
Washington DC,2021,1,806439
Washington DC,2021,2,757280
Washington DC,2021,3,1301719
Washington DC,2021,4,1588050
Washington DC,2021,5,1935201
Washington DC,2021,6,2204475
Washington DC,2021,7,2561022
Washington DC,2021,8,2491976
Washington DC,2021,9,2162159
Washington DC,2021,10,2444705
Washington DC,2021,11,2508440
Washington DC,2021,12,2548557
Washington DC,2022,1,1693138
Washington DC,2022,2,1916697
Washington DC,2022,3,2632749
Washington DC,2022,4,2853316
Washington DC,2022,5,3019856
Washington DC,2022,6,3108048
Washington DC,2022,7,3216860
Washington DC,2022,8,3055350
Washington DC,2022,9,2873431
Washington DC,2022,10,3097133
Washington DC,2022,11,2852353
Washington DC,2022,12,2810040
Washington DC,2023,1,2460827
Washington DC,2023,2,2391761
Washington DC,2023,3,3065417
Washington DC,2023,4,3114559
Washington DC,2023,5,3358386
Washington DC,2023,6,3464115
Washington DC,2023,7,3514510
Washington DC,2023,8,3386835
Washington DC,2023,9,3115174
Washington DC,2023,10,3408925
Washington DC,2023,11,3148846
Washington DC,2023,12,3111749
Washington DC,2024,1,2551848
Washington DC,2024,2,2608242
Washington DC,2024,3,3299854
Washington DC,2024,4,3204650
Washington DC,2024,5,3614966
Washington DC,2024,6,3690342
